TransactionNo,Items,DateTime,DayType,Location,Date,Year,Month,Day,Hour,Month_Number,Day_Number
23,Chocolate Iced Glazed,2016-10-30 10:53:49,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
24,Original Glazed,2016-10-30 10:54:33,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
25,Glazed Chocolate Cake,2016-10-30 10:55:22,Weekend,Vivo,2016-10-30,2016,October,Sunday,Morning,10,6
26,Glazed Chocolate Cake,2016-10-30 10:56:08,Weekend,Jurong,2016-10-30,2016,October,Sunday,Morning,10,6
27,Glazed Chocolate Cake,2016-10-30 11:02:19,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
28,Original Glazed,2016-10-30 11:03:24,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
28,Original Glazed,2016-10-30 11:03:24,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
29,Original Glazed,2016-10-30 11:05:30,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
29,Chocolate Iced Glazed,2016-10-30 11:05:30,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
30,Original Glazed,2016-10-30 11:07:19,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
31,Drinks,2016-10-30 11:12:56,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
32,Glazed Chocolate Cake,2016-10-30 11:16:15,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
32,Chocolate Iced Glazed,2016-10-30 11:16:15,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
33,Original Glazed,2016-10-30 11:22:49,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
34,Original Glazed,2016-10-30 11:25:45,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
34,Chocolate Iced Glazed,2016-10-30 11:25:45,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
35,Chocolate Iced Glazed,2016-10-30 11:27:34,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
35,Glazed Chocolate Cake,2016-10-30 11:27:34,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
36,Glazed Chocolate Cake,2016-10-30 11:33:08,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
36,Original Glazed,2016-10-30 11:33:08,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
37,Original Glazed,2016-10-30 11:37:10,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
37,Original Glazed,2016-10-30 11:37:10,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
38,Original Glazed,2016-10-30 11:42:40,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
38,Glazed Chocolate Cake,2016-10-30 11:42:40,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
39,Glazed Chocolate Cake,2016-10-30 11:44:31,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
40,Glazed Chocolate Cake,2016-10-30 11:55:51,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
40,Drinks,2016-10-30 11:55:51,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
40,Original Glazed,2016-10-30 11:55:51,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
40,Chocolate Iced Glazed,2016-10-30 11:55:51,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
41,Glazed Chocolate Cake,2016-10-30 11:57:06,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
42,Original Glazed,2016-10-30 11:57:45,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
42,Glazed Chocolate Cake,2016-10-30 11:57:45,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
43,Glazed Chocolate Cake,2016-10-30 12:00:22,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
43,Glazed Chocolate Cake,2016-10-30 12:00:22,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
44,Original Glazed,2016-10-30 12:05:47,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
44,Glazed Chocolate Cake,2016-10-30 12:05:47,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
45,Original Glazed,2016-10-30 12:08:36,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
45,Drinks,2016-10-30 12:08:36,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
45,Glazed Chocolate Cake,2016-10-30 12:08:36,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
46,Original Glazed,2016-10-30 12:09:04,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
47,Drinks,2016-10-30 12:15:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
47,Glazed Chocolate Cake,2016-10-30 12:15:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
47,Original Glazed,2016-10-30 12:15:29,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
47,Chocolate Iced Glazed,2016-10-30 12:15:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
47,Chocolate Iced Glazed,2016-10-30 12:15:29,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
48,Original Glazed,2016-10-30 12:17:02,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
49,Original Glazed,2016-10-30 12:23:01,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
49,Original Glazed,2016-10-30 12:23:01,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
49,Glazed Chocolate Cake,2016-10-30 12:23:01,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
50,Original Glazed,2016-10-30 12:25:11,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
50,Drinks,2016-10-30 12:25:11,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
51,Original Glazed,2016-10-30 12:26:58,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
52,Glazed Chocolate Cake,2016-10-30 12:28:07,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
54,Original Glazed,2016-10-30 12:33:08,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
55,Drinks,2016-10-30 12:38:06,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
55,Original Glazed,2016-10-30 12:38:06,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
55,Glazed Chocolate Cake,2016-10-30 12:38:06,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
55,Chocolate Iced Glazed,2016-10-30 12:38:06,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
56,Original Glazed,2016-10-30 12:39:27,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
56,Drinks,2016-10-30 12:39:27,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
57,Glazed Chocolate Cake,2016-10-30 12:45:48,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
58,Drinks,2016-10-30 12:59:29,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
58,Drinks,2016-10-30 12:59:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
58,Glazed Chocolate Cake,2016-10-30 12:59:29,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
58,Glazed Chocolate Cake,2016-10-30 12:59:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
59,Glazed Chocolate Cake,2016-10-30 13:02:04,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
60,Chocolate Iced Glazed,2016-10-30 13:14:04,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
60,Original Glazed,2016-10-30 13:14:04,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
60,Glazed Chocolate Cake,2016-10-30 13:14:04,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
60,Original Glazed,2016-10-30 13:14:04,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
61,Original Glazed,2016-10-30 13:15:38,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
62,Drinks,2016-10-30 13:24:00,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
62,Chocolate Iced Glazed,2016-10-30 13:24:00,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
62,Chocolate Iced Glazed,2016-10-30 13:24:00,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
62,Original Glazed,2016-10-30 13:24:00,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
62,Drinks,2016-10-30 13:24:00,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
62,Original Glazed,2016-10-30 13:24:00,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
63,Original Glazed,2016-10-30 13:33:12,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
64,Chocolate Iced Glazed,2016-10-30 13:34:07,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
65,Drinks,2016-10-30 13:37:25,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
65,Drinks,2016-10-30 13:37:25,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
65,Glazed Chocolate Cake,2016-10-30 13:37:25,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
65,Original Glazed,2016-10-30 13:37:25,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
66,Chocolate Iced Glazed,2016-10-30 13:40:20,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
66,Drinks,2016-10-30 13:40:20,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
66,Glazed Chocolate Cake,2016-10-30 13:40:20,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
67,Chocolate Iced Glazed,2016-10-30 13:46:48,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
67,Glazed Chocolate Cake,2016-10-30 13:46:48,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
67,Chocolate Iced Glazed,2016-10-30 13:46:48,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
68,Drinks,2016-10-30 13:49:36,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
68,Original Glazed,2016-10-30 13:49:36,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
68,Glazed Chocolate Cake,2016-10-30 13:49:36,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
68,Glazed Chocolate Cake,2016-10-30 13:49:36,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
68,Drinks,2016-10-30 13:49:36,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
69,Original Glazed,2016-10-30 13:51:49,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
69,Glazed Chocolate Cake,2016-10-30 13:51:49,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
69,Drinks,2016-10-30 13:51:49,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
70,Glazed Chocolate Cake,2016-10-30 13:54:42,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
71,Chocolate Iced Glazed,2016-10-30 13:56:08,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
72,Original Glazed,2016-10-30 14:21:38,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
72,Original Glazed,2016-10-30 14:21:38,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
73,Original Glazed,2016-10-30 14:22:39,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
74,Original Glazed,2016-10-30 14:24:03,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
74,Original Glazed,2016-10-30 14:24:03,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
75,Chocolate Iced Glazed,2016-10-30 14:32:26,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
75,Drinks,2016-10-30 14:32:26,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
76,Original Glazed,2016-10-30 14:32:49,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
77,Glazed Chocolate Cake,2016-10-30 14:35:36,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
78,Glazed Chocolate Cake,2016-10-30 14:42:29,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
79,Glazed Chocolate Cake,2016-10-30 14:45:44,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
79,Glazed Chocolate Cake,2016-10-30 14:45:44,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
79,Original Glazed,2016-10-30 14:45:44,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
79,Chocolate Iced Glazed,2016-10-30 14:45:44,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
80,Drinks,2016-10-30 14:48:40,Weekend,Jurong,2016-10-30,2016,October,Sunday,Afternoon,10,6
80,Original Glazed,2016-10-30 14:48:40,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
80,Original Glazed,2016-10-30 14:48:40,Weekend,Vivo,2016-10-30,2016,October,Sunday,Afternoon,10,6
81,Original Glazed,2016-10-31 08:28:31,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
81,Chocolate Iced Glazed,2016-10-31 08:28:31,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
82,Drinks,2016-10-31 08:47:05,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
82,Original Glazed,2016-10-31 08:47:05,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
83,Original Glazed,2016-10-31 08:57:47,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
83,Original Glazed,2016-10-31 08:57:47,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
84,Original Glazed,2016-10-31 09:04:06,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
85,Original Glazed,2016-10-31 09:10:09,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
85,Original Glazed,2016-10-31 09:10:09,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
85,Glazed Chocolate Cake,2016-10-31 09:10:09,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
85,Glazed Chocolate Cake,2016-10-31 09:10:09,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
86,Glazed Chocolate Cake,2016-10-31 09:11:08,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
87,Original Glazed,2016-10-31 09:12:56,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
88,Original Glazed,2016-10-31 09:16:01,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
88,Original Glazed,2016-10-31 09:16:01,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
88,Chocolate Iced Glazed,2016-10-31 09:16:01,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
89,Original Glazed,2016-10-31 09:19:41,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
90,Original Glazed,2016-10-31 09:20:12,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
90,Original Glazed,2016-10-31 09:20:12,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
91,Glazed Chocolate Cake,2016-10-31 09:22:48,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
92,Original Glazed,2016-10-31 09:27:11,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
93,Original Glazed,2016-10-31 09:29:23,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
93,Chocolate Iced Glazed,2016-10-31 09:29:23,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
94,Original Glazed,2016-10-31 09:39:09,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
94,Original Glazed,2016-10-31 09:39:09,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
95,Glazed Chocolate Cake,2016-10-31 09:43:37,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
95,Glazed Chocolate Cake,2016-10-31 09:43:37,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
95,Chocolate Iced Glazed,2016-10-31 09:43:37,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
96,Glazed Chocolate Cake,2016-10-31 09:46:48,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
96,Glazed Chocolate Cake,2016-10-31 09:46:48,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
96,Original Glazed,2016-10-31 09:46:48,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
96,Glazed Chocolate Cake,2016-10-31 09:46:48,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
97,Original Glazed,2016-10-31 09:51:11,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
97,Glazed Chocolate Cake,2016-10-31 09:51:11,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
97,Glazed Chocolate Cake,2016-10-31 09:51:11,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
98,Chocolate Iced Glazed,2016-10-31 09:52:22,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
99,Glazed Chocolate Cake,2016-10-31 09:56:37,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
99,Glazed Chocolate Cake,2016-10-31 09:56:37,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
99,Original Glazed,2016-10-31 09:56:37,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
99,Original Glazed,2016-10-31 09:56:37,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
100,Original Glazed,2016-10-31 09:58:06,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
101,Original Glazed,2016-10-31 10:04:02,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
101,Glazed Chocolate Cake,2016-10-31 10:04:02,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
102,Chocolate Iced Glazed,2016-10-31 10:04:44,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
103,Original Glazed,2016-10-31 10:07:40,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
104,Original Glazed,2016-10-31 10:12:48,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
104,Original Glazed,2016-10-31 10:12:48,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
104,Glazed Chocolate Cake,2016-10-31 10:12:48,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
104,Chocolate Iced Glazed,2016-10-31 10:12:48,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
104,Original Glazed,2016-10-31 10:12:48,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
105,Original Glazed,2016-10-31 10:21:29,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
105,Glazed Chocolate Cake,2016-10-31 10:21:29,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
105,Chocolate Iced Glazed,2016-10-31 10:21:29,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
106,Original Glazed,2016-10-31 10:24:21,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
106,Original Glazed,2016-10-31 10:24:21,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
106,Glazed Chocolate Cake,2016-10-31 10:24:21,Weekday,Jurong,2016-10-31,2016,October,Monday,Morning,10,0
106,Glazed Chocolate Cake,2016-10-31 10:24:21,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
107,Original Glazed,2016-10-31 10:27:30,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
107,Glazed Chocolate Cake,2016-10-31 10:27:30,Weekday,Vivo,2016-10-31,2016,October,Monday,Morning,10,0
